"Strain","Tissue","DPI","Entropy","Mortality","Lethal"
"CC011/Unc","Spleen","1",2.12959490707517,0,FALSE
"CC042/GeniUnc","Spleen","1",2.61758324376912,1,TRUE
"CC043/GeniUnc","Spleen","1",2.12898154045597,1,TRUE
"CC061/GeniUnc","Spleen","1",2.04091206955941,0,FALSE
"CC021/Unc","Spleen","1",2.09625812952067,0,FALSE
"CC026/GeniUnc","Spleen","1",2.08545700415953,0,FALSE
"CC041/TauUnc","Spleen","1",2.92844535221848,1,TRUE
"CC055/TauUnc","Spleen","1",2.12242929979599,1,TRUE
"CC057/Unc","Spleen","1",3.9492312688557,0.2,FALSE
"CC065/Unc","Spleen","1",1.99154957124435,0.2,FALSE
"CC011/Unc","Spleen","3",1.79445721158774,0,FALSE
"CC042/GeniUnc","Spleen","3",1.6904662230673,1,TRUE
"CC043/GeniUnc","Spleen","3",1.97431422581435,1,TRUE
"CC061/GeniUnc","Spleen","3",1.61765900057346,0,FALSE
"CC021/Unc","Spleen","3",2.54824280887099,0,FALSE
"CC026/GeniUnc","Spleen","3",2.84934408685207,0,FALSE
"CC041/TauUnc","Spleen","3",3.02838881664776,1,TRUE
"CC055/TauUnc","Spleen","3",3.14764087918475,1,TRUE
"CC057/Unc","Spleen","3",2.59519044326935,0.2,FALSE
"CC065/Unc","Spleen","3",2.68293495224873,0.2,FALSE
"CC011/Unc","Spleen","5",3.24302511104362,0,FALSE
"CC042/GeniUnc","Spleen","5",2.90207001296663,1,TRUE
"CC043/GeniUnc","Spleen","5",3.0832966828855,1,TRUE
"CC061/GeniUnc","Spleen","5",2.74087390259732,0,FALSE
"CC021/Unc","Spleen","5",2.64999877296217,0,FALSE
"CC026/GeniUnc","Spleen","5",2.9712900586217,0,FALSE
"CC041/TauUnc","Spleen","5",3.46280211826301,1,TRUE
"CC055/TauUnc","Spleen","5",2.92132275518577,1,TRUE
"CC057/Unc","Spleen","5",NA,0.2,FALSE
"CC065/Unc","Spleen","5",NA,0.2,FALSE
"CC011/Unc","Liver","1",2.13674232651694,0,FALSE
"CC042/GeniUnc","Liver","1",2.91569808580163,1,TRUE
"CC043/GeniUnc","Liver","1",2.74282328000158,1,TRUE
"CC061/GeniUnc","Liver","1",2.55292292799858,0,FALSE
"CC021/Unc","Liver","1",2.16434987340571,0,FALSE
"CC026/GeniUnc","Liver","1",1.83917913994652,0,FALSE
"CC041/TauUnc","Liver","1",1.79541927672103,1,TRUE
"CC055/TauUnc","Liver","1",1.93145247838778,1,TRUE
"CC057/Unc","Liver","1",4.25763807945404,0.2,FALSE
"CC065/Unc","Liver","1",2.31676101381189,0.2,FALSE
"CC011/Unc","Liver","3",2.78431519133561,0,FALSE
"CC042/GeniUnc","Liver","3",2.91244771683851,1,TRUE
"CC043/GeniUnc","Liver","3",4.18353703319647,1,TRUE
"CC061/GeniUnc","Liver","3",3.73393749661102,0,FALSE
"CC021/Unc","Liver","3",2.49766904402253,0,FALSE
"CC026/GeniUnc","Liver","3",2.6503112624486,0,FALSE
"CC041/TauUnc","Liver","3",NA,1,TRUE
"CC055/TauUnc","Liver","3",3.34286518826766,1,TRUE
"CC057/Unc","Liver","3",NA,0.2,FALSE
"CC065/Unc","Liver","3",2.49799684956855,0.2,FALSE
"CC011/Unc","Liver","5",2.83721005097811,0,FALSE
"CC042/GeniUnc","Liver","5",3.41983083322104,1,TRUE
"CC043/GeniUnc","Liver","5",3.7050427223521,1,TRUE
"CC061/GeniUnc","Liver","5",3.2066004123071,0,FALSE
"CC021/Unc","Liver","5",2.77894480878278,0,FALSE
"CC026/GeniUnc","Liver","5",3.08884690548964,0,FALSE
"CC041/TauUnc","Liver","5",3.99329389673958,1,TRUE
"CC055/TauUnc","Liver","5",3.23135156765648,1,TRUE
"CC057/Unc","Liver","5",3.07816986858357,0.2,FALSE
"CC065/Unc","Liver","5",NA,0.2,FALSE
